"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.05,4,0.1,0.66,40,0.66,250,141628798.766056,11673447.7869537
0.05,4,0.1,0.66,20,0.66,250,141656998.941839,11166106.7307597
0.05,4,0.1,0.66,20,0.75,250,141700918.148191,11457882.3495885
0.05,4,0.01,0.66,40,0.75,250,141935516.099891,10743803.7857779
0.01,4,0.001,0.75,20,0.75,1000,142105626.505241,10384967.8821529
0.01,4,0,0.66,20,0.66,1000,142148741.480515,10823358.0129366
0.01,4,0,0.75,20,0.75,1000,142151973.757872,10428376.6914987
0.01,4,0.1,0.66,20,0.75,1000,142189445.035094,10517083.7170561
0.01,4,0.1,0.75,20,0.75,1000,142190340.132415,10623173.5652538
0.01,4,0.001,0.66,20,0.66,1000,142237224.966664,10819014.1806794
0.01,4,0.1,0.75,20,0.66,1000,142263348.358741,10702848.8323055
0.01,4,0.01,0.66,20,0.75,1000,142265900.945081,10753904.7951925
0.01,4,0.01,0.75,20,0.75,1000,142271309.558323,10756710.1516206
0.01,4,0.01,0.75,20,0.66,1000,142276240.564426,10926652.7448748
0.01,4,0.01,0.75,40,0.66,1000,142278942.238904,10715729.9098211
0.01,4,0.01,0.66,20,0.66,1000,142296869.676486,10700540.9352128
0.01,4,0.001,0.75,40,0.75,1000,142344242.921622,10708734.3600155
0.01,4,0,0.75,20,0.66,1000,142346916.609793,10872924.9561965
0.01,4,0,0.75,40,0.75,1000,142360372.665929,10646632.1576269
0.01,4,0.01,0.66,40,0.75,1000,142371220.783343,10740088.276423
0.01,4,0.1,0.75,40,0.66,1000,142371713.683758,10659622.8959524
0.01,4,0.1,0.66,40,0.75,1000,142403728.984188,10622743.7356373
0.01,4,0.1,0.66,20,0.66,1000,142404273.044382,10893934.4511695
0.01,4,0.001,0.66,40,0.75,1000,142408664.664383,10596229.4864426
0.01,4,0,0.66,40,0.75,1000,142409323.439026,10748766.5087021
0.01,4,0.001,0.75,20,0.66,1000,142431868.656688,10569744.0302252
0.01,4,0,0.75,40,0.66,1000,142454649.951951,10912349.9819659
0.01,4,0.001,0.75,40,0.66,1000,142480998.706557,10779607.9319969
0.01,4,0.01,0.66,40,0.66,1000,142508984.676894,10663823.0835664
0.01,4,0,0.66,20,0.75,1000,142527896.92501,10807418.9647743
0.01,4,0.01,0.75,40,0.75,1000,142538672.714624,10826293.0016518
0.01,4,0.1,0.75,40,0.75,1000,142553270.406276,11076468.2029763
0.01,4,0,0.66,40,0.66,1000,142614379.401347,10596541.7987247
0.01,4,0.001,0.66,40,0.66,1000,142676869.291793,10930156.9860729
0.01,4,0.001,0.66,20,0.75,1000,142728960.108832,10791469.9486024
0.01,4,0.1,0.66,40,0.66,1000,142737440.745541,10977960.8892299
0.01,8,0.01,0.75,20,0.66,250,144970607.95963,12515783.9841063
0.01,8,0.1,0.75,20,0.66,250,145092529.655967,12771779.7350672
0.01,8,0.001,0.75,20,0.75,250,145116623.723457,12691583.5124994
0.01,8,0,0.75,20,0.75,250,145126115.104053,12594086.9015133
0.01,8,0,0.75,20,0.66,250,145136713.333224,12319918.3161445
0.01,8,0.1,0.75,20,0.75,250,145140918.81387,12524759.0316754
0.01,8,0.01,0.75,20,0.75,250,145188051.157276,12724303.2913889
0.01,8,0.001,0.75,20,0.66,250,145188622.638079,12881631.1496514
0.01,8,0,0.66,20,0.66,250,145429261.093999,12295349.3185508
0.01,8,0.01,0.66,20,0.75,250,145435032.847915,12510490.2002823
0.01,8,0.001,0.75,40,0.75,250,145566698.089666,12310936.5600553
0.01,8,0.01,0.75,40,0.75,250,145576958.669019,12535119.4377761
0.01,8,0.1,0.75,40,0.75,250,145580135.655114,12790421.5114385
0.01,8,0,0.75,40,0.75,250,145594570.252972,12596922.1543365
0.01,8,0.1,0.75,40,0.66,250,145608631.913731,12494603.4458187
0.01,8,0,0.75,40,0.66,250,145619782.926431,12594115.0066408
0.01,8,0.001,0.75,40,0.66,250,145632350.882173,12762762.6491205
0.01,8,0.01,0.75,40,0.66,250,145726141.105239,12861269.4234147
0.01,8,0.1,0.66,40,0.66,250,145732427.201215,12291524.0126468
0.01,8,0.01,0.66,20,0.66,250,145759817.217148,12852490.2791796
0.01,8,0,0.66,20,0.75,250,145761495.485279,12634282.7317856
0.05,2,0.1,0.66,20,0.66,1000,145851058.542203,11802502.4200465
0.01,8,0.001,0.66,20,0.75,250,145882783.18759,12777317.5780132
0.01,8,0.1,0.66,20,0.75,250,145884850.887527,12968473.1423222
0.01,8,0.1,0.66,20,0.66,250,146024666.452535,13049827.5603815
0.01,8,0,0.66,40,0.75,250,146038396.118829,12763752.5828586
0.01,8,0.001,0.66,20,0.66,250,146042932.830192,12742611.9522907
0.01,8,0.001,0.66,40,0.75,250,146088168.703509,12646029.7805797
0.05,2,0.1,0.75,20,0.66,1000,146140224.608683,11898296.7907198
0.05,2,0,0.75,20,0.66,1000,146227084.615292,11215003.8212187
0.01,8,0.01,0.66,40,0.75,250,146238584.089339,12929161.7778101
0.01,8,0,0.66,40,0.66,250,146239427.568387,12928874.6033974
0.05,2,0,0.66,20,0.66,1000,146274733.827004,12111530.9687991
0.01,8,0.01,0.66,40,0.66,250,146292075.207408,12795783.4321106
0.05,2,0.1,0.66,20,0.75,1000,146318225.289245,12017633.5884498
0.05,2,0,0.66,40,0.75,1000,146412118.121478,12187088.4598086
0.05,2,0.01,0.75,40,0.66,1000,146433661.154814,11376294.3847004
0.05,2,0,0.75,40,0.75,1000,146445758.118189,11561744.9894196
0.05,2,0,0.66,20,0.75,1000,146470840.585996,11629472.0643548
0.05,2,0,0.75,40,0.66,1000,146478455.120043,11310144.5179196
0.05,2,0.01,0.66,20,0.75,1000,146510453.915501,11997881.1934583
0.01,8,0.1,0.66,40,0.75,250,146558186.163985,13333135.2557604
0.05,2,0.01,0.75,20,0.66,1000,146559703.409103,12364084.7784961
0.05,2,0.001,0.66,40,0.75,1000,146601588.72025,12248633.2216098
0.05,2,0.01,0.75,20,0.75,1000,146618355.344063,11593274.6582407
0.05,2,0.01,0.75,40,0.75,1000,146643706.568502,11734195.1487649
0.05,2,0,0.75,20,0.75,1000,146647181.423234,11342275.052759
0.05,2,0.1,0.75,20,0.75,1000,146696564.128984,12004410.9813813
0.05,2,0.001,0.66,20,0.75,1000,146716115.896483,12359076.8870583
0.01,8,0.001,0.66,40,0.66,250,146808417.986922,13378955.0096165
0.05,2,0.01,0.66,40,0.66,1000,146833231.742966,11416220.1447116
0.05,2,0.1,0.66,40,0.75,1000,146840894.203002,11853346.6018856
0.05,2,0.1,0.66,40,0.66,1000,146877495.196101,12517301.6394242
