"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.05,4,0.1,0.66,40,0.75,250,128922460.755057,1023059.22764948
0.05,4,0.001,0.66,40,0.66,250,128969401.59047,1218615.14131238
0.05,4,0.01,0.66,40,0.66,250,129004776.74053,1104864.15840102
0.01,8,0.001,0.75,20,0.75,250,129555058.081038,752076.666422588
0.01,8,0.01,0.75,20,0.75,250,129581777.736274,746806.869635769
0.01,8,0,0.75,20,0.75,250,129622794.333437,779311.025920249
0.01,8,0.1,0.75,20,0.75,250,129690426.981122,662792.876769797
0.01,8,0.01,0.75,20,0.66,250,129750123.793908,788135.401748282
0.01,8,0,0.75,20,0.66,250,129768302.934209,823387.650569885
0.01,8,0.001,0.75,20,0.66,250,129787510.791684,896120.671334757
0.01,8,0.1,0.75,20,0.66,250,129904009.463627,923637.748692004
0.01,8,0.01,0.66,20,0.75,250,129932011.480569,1026226.90032132
0.01,8,0.1,0.66,20,0.75,250,129988120.354838,859564.939219553
0.01,8,0.001,0.66,20,0.75,250,130120231.178607,825574.966464929
0.01,8,0,0.66,20,0.75,250,130198956.842855,757440.016531796
0.01,8,0.01,0.66,20,0.66,250,130301283.55825,670862.604098165
0.01,8,0,0.66,20,0.66,250,130338725.882653,994382.469723582
0.01,4,0.001,0.75,20,0.75,1000,130367607.209974,1097960.42718772
0.01,8,0.001,0.66,20,0.66,250,130367799.90132,990631.418731491
0.01,4,0,0.75,20,0.66,1000,130391747.413751,1024381.22610794
0.01,4,0.1,0.75,20,0.66,1000,130396205.505205,1049565.7153794
0.01,8,0.1,0.66,20,0.66,250,130399723.937597,925871.99807296
0.01,4,0.001,0.75,20,0.66,1000,130441210.684236,1047037.36559138
0.01,4,0.01,0.75,20,0.75,1000,130448623.284321,1041756.1207968
0.01,4,0.1,0.75,20,0.75,1000,130469209.997717,1116458.63443311
0.01,4,0.01,0.75,20,0.66,1000,130525354.518649,1139329.65100308
0.01,4,0.001,0.66,20,0.66,1000,130580119.659227,1063171.96884769
0.01,4,0,0.75,20,0.75,1000,130597004.155634,1015226.46853675
0.01,4,0.01,0.75,40,0.66,1000,130606241.978087,1240680.7914877
0.01,4,0.01,0.66,20,0.75,1000,130633265.706667,1132631.72580509
0.01,4,0,0.66,20,0.66,1000,130636625.189221,1216138.56968578
0.01,4,0.01,0.66,20,0.66,1000,130641960.382378,1191138.20190951
0.01,4,0.1,0.66,20,0.75,1000,130644035.891073,1077354.62989532
0.01,4,0,0.66,20,0.75,1000,130645826.321925,1218040.12055484
0.01,4,0.001,0.75,40,0.66,1000,130646748.950098,1253179.72087393
0.01,4,0,0.75,40,0.75,1000,130659072.840698,1197097.72194762
0.01,4,0.01,0.75,40,0.75,1000,130662794.830322,1172771.71610081
0.01,4,0.1,0.75,40,0.66,1000,130664459.879726,1158224.17803675
0.01,4,0,0.75,40,0.66,1000,130685186.317906,1135369.89527268
0.01,4,0.001,0.75,40,0.75,1000,130706590.499633,1043418.93059617
0.01,4,0.1,0.75,40,0.75,1000,130706955.530313,1067677.8352076
0.01,4,0.001,0.66,20,0.75,1000,130713188.077088,1105788.42542912
0.01,8,0,0.75,40,0.75,250,130716551.182747,929192.893997935
0.01,4,0.1,0.66,20,0.66,1000,130725945.159008,1151872.90787593
0.01,4,0.01,0.66,40,0.66,1000,130773738.284962,1149018.8636013
0.01,4,0.01,0.66,40,0.75,1000,130786781.699946,1204125.70706535
0.01,4,0,0.66,40,0.75,1000,130790301.481047,1095476.1496015
0.01,4,0.001,0.66,40,0.75,1000,130795325.975387,1094635.78805679
0.01,4,0.1,0.66,40,0.75,1000,130825010.369304,1126979.11325585
0.01,4,0,0.66,40,0.66,1000,130845585.990288,1068058.34841059
0.01,4,0.1,0.66,40,0.66,1000,130846238.997342,1035953.54242567
0.01,4,0.001,0.66,40,0.66,1000,130847644.787568,1188786.00580001
0.01,8,0.001,0.75,40,0.75,250,130848266.881474,868984.921320621
0.01,8,0.1,0.75,40,0.75,250,130924643.292195,679911.954394682
0.01,8,0.01,0.75,40,0.75,250,131022875.796344,949642.189701035
0.01,8,0,0.75,40,0.66,250,131083072.88278,778043.308623095
0.01,8,0.001,0.75,40,0.66,250,131231022.365242,833610.116519988
0.01,8,0,0.66,40,0.75,250,131273781.194894,952728.566438068
0.01,8,0.01,0.75,40,0.66,250,131344441.191619,744037.929169172
0.01,8,0.1,0.75,40,0.66,250,131347341.709386,853538.078193469
0.01,8,0.001,0.66,40,0.75,250,131362265.062216,738175.526900144
0.01,8,0.1,0.66,40,0.75,250,131458551.098673,928957.393784699
0.01,8,0.01,0.66,40,0.75,250,131477974.245792,899323.045229267
0.01,8,0.01,0.66,40,0.66,250,131674749.218873,657109.518429599
0.01,8,0,0.66,40,0.66,250,131716048.452841,1025982.21632613
0.01,8,0.001,0.66,40,0.66,250,131733229.413024,857412.793232137
0.01,8,0.1,0.66,40,0.66,250,131751992.148761,904407.816021662
0.05,2,0.1,0.75,40,0.66,1000,134246278.056556,1186126.32014898
0.05,2,0.1,0.75,20,0.66,1000,134259010.536966,1164699.43757318
0.05,2,0,0.75,20,0.75,1000,134287659.196592,1350058.93679709
0.05,2,0,0.75,20,0.66,1000,134382580.292292,1154517.45775956
0.05,2,0.01,0.66,20,0.66,1000,134418905.860837,1205071.08272172
0.05,2,0,0.75,40,0.75,1000,134431354.441095,1335010.39608993
0.05,2,0.001,0.75,40,0.66,1000,134432447.59823,1275403.66553682
0.05,2,0.1,0.66,20,0.66,1000,134464762.591412,1225207.76958064
0.05,2,0,0.75,40,0.66,1000,134478875.935358,1303517.83058097
0.05,2,0.01,0.75,20,0.66,1000,134495017.676755,1188271.43654915
0.05,2,0,0.66,20,0.66,1000,134565645.344642,1511752.10321866
0.05,2,0.001,0.75,20,0.66,1000,134573548.506038,1547699.76605326
0.05,2,0.001,0.66,20,0.75,1000,134585916.751284,1367279.58181944
0.05,2,0.01,0.75,20,0.75,1000,134603437.598137,1123083.72036198
0.05,2,0.1,0.75,20,0.75,1000,134630661.425818,1248173.77397363
0.05,2,0.01,0.75,40,0.66,1000,134631034.776644,1527653.20222711
0.05,2,0,0.66,40,0.66,1000,134643740.691122,1575658.54274643
0.05,2,0.001,0.75,20,0.75,1000,134644738.454945,1342297.46284533
0.05,2,0.1,0.66,40,0.66,1000,134656434.620525,1230735.74308589
0.05,2,0.01,0.75,40,0.75,1000,134670003.195776,1193551.89688727
0.05,2,0.001,0.66,40,0.66,1000,134676290.069232,1360844.7139769
0.05,2,0.1,0.66,20,0.75,1000,134682177.101149,1310764.71686774
0.05,2,0.001,0.75,40,0.75,1000,134696449.650584,1492636.12798686
0.05,2,0,0.66,40,0.75,1000,134712497.316468,1505482.76562322
0.05,2,0,0.66,20,0.75,1000,134760348.896869,1407858.35927014
0.05,2,0.1,0.75,40,0.75,1000,134770171.576082,1152159.18720143
0.05,2,0.001,0.66,20,0.66,1000,134801326.845502,1375255.37958634
0.05,2,0.01,0.66,20,0.75,1000,134825558.73035,1077896.96655939
0.05,2,0.001,0.66,40,0.75,1000,134834613.94679,1354870.33110308
0.05,2,0.1,0.66,40,0.75,1000,134835944.323488,1311542.1413186
0.05,2,0.01,0.66,40,0.66,1000,134849313.930284,1389347.34089346
0.05,2,0.01,0.66,40,0.75,1000,134882369.642076,1543763.64386627
0.01,4,0,0.75,20,0.66,500,138334629.988617,868504.783621832
0.01,4,0.001,0.75,20,0.75,500,138381093.280838,1030754.71188026
0.01,4,0.01,0.75,20,0.66,500,138424650.331046,1056465.02225435
0.01,4,0.1,0.75,20,0.66,500,138444308.586222,947819.293278968
0.01,4,0.01,0.75,20,0.75,500,138462436.998371,974964.435747304
0.01,4,0.1,0.75,20,0.75,500,138496925.861826,1016860.26590202
